date,home_team,away_team,home_goals,away_goals,home_xg,away_xg
2025-05-03,M'gladbach,Hoffenheim,4,4,1.92,1.91
2025-05-03,Union Berlin,Werder Bremen,2,2,1.35,1.36
2025-05-03,St Pauli,Stuttgart,0,1,0.21,3.56
2025-05-03,Dortmund,Wolfsburg,4,0,2.55,1.36
2025-05-04,Augsburg,Holstein Kiel,1,3,3.93,2.1
2025-05-04,Freiburg,Leverkusen,2,2,0.9,0.23
2025-05-04,Mainz,Ein Frankfurt,1,1,1.64,1.39
2025-05-09,Wolfsburg,Hoffenheim,2,2,1.37,1.11
2025-05-10,Werder Bremen,RB Leipzig,0,0,3.21,1.39
2025-05-10,Union Berlin,Heidenheim,0,3,0.53,1.86
2025-05-10,Bochum,Mainz,1,4,0.73,2.49
2025-05-10,Holstein Kiel,Freiburg,1,2,0.97,2.02
2025-05-10,Bayern Munich,M'gladbach,2,0,2.78,1.36
2025-05-11,Leverkusen,Dortmund,2,4,1.9,1.39
2025-05-11,Ein Frankfurt,St Pauli,2,2,1.82,0.67
2025-05-11,Stuttgart,Augsburg,4,0,4.97,0.38
2025-05-17,RB Leipzig,Stuttgart,2,3,1.42,3.35
2025-05-17,Dortmund,Holstein Kiel,3,0,2.56,0.57
2025-05-17,Hoffenheim,Bayern Munich,0,4,0.66,2.21
2025-05-17,Heidenheim,Werder Bremen,1,4,1.76,2.21
2025-05-17,Freiburg,Ein Frankfurt,1,3,1.14,2.62
2025-05-17,Augsburg,Union Berlin,1,2,1.58,1.14
2025-05-17,Mainz,Leverkusen,2,2,2.9,1.34
2025-05-17,M'gladbach,Wolfsburg,0,1,0.74,1.58
2025-05-17,St Pauli,Bochum,0,2,0.8,1.34
